"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","dill_70.wav","till","70","unlabeled","expo-10ms","A","A","2","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_75.wav","till","75","unlabeled","expo-10ms","A","A","2","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","din_50.wav","tin","50","labeled","expo-10ms","A","A","2","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_70.wav","tin","70","labeled","expo-10ms","A","A","2","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_80.wav","tin","80","labeled","expo-10ms","A","A","2","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_85.wav","tin","85","labeled","expo-10ms","A","A","2","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_50.wav","tin","50","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_55.wav","tin","55","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_55.wav","tin","55","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","dip_45.wav","tip","45","labeled","expo-10ms","A","A","2","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","labeled","expo-10ms","A","A","2","50","16.431676725155","tip","tin","d-right","234"
"break2","","","","","","","","","","","","","","",""
"phonetic categorization","exposure","dip_60.wav","tip","60","labeled","expo-10ms","A","A","2","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_60.wav","tip","60","labeled","expo-10ms","A","A","2","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_30.wav","tip","30","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_60.wav","tip","60","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_65.wav","tip","65","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_75.wav","tip","75","unlabeled","expo-10ms","A","A","2","50","16.431676725155","tip","dip","d-right","234"
